ID,F37,F41,F2,F17,F22,F32,F47
240397,1,2,0,9,995,0,0
240398,1,1,0,9,87,0,0
240399,1,2,0,9,995,0,0
240400,1,2,0,9,995,0,0
240401,1,2,0,9,995,0,0
240402,1,2,0,9,995,0,0
240403,1,1,0,9,995,0,0
240404,1,2,0,9,1,0,0
240405,1,1,0,9,995,0,0
240406,1,1,0,9,995,0,0
240407,1,2,0,9,995,0,0
240408,1,1,0,9,995,0,0
240409,1,1,0,9,995,0,0
240410,1,2,0,9,995,0,0
240411,1,2,0,9,995,0,0
240412,1,1,0,9,995,0,0
240413,1,1,0,9,995,0,0
240414,1,2,0,9,118,0,0
240415,1,2,0,2,995,0,0
240416,3,1,0,9,1,0,0
240417,1,2,0,9,995,0,0
240418,3,2,0,9,995,0,0
240419,1,2,0,9,995,0,0
240420,1,2,0,9,995,0,0
240421,1,1,0,9,1,1,1
240422,1,1,0,9,995,0,0
240423,1,1,0,9,995,0,0
240424,1,2,0,9,995,0,0
240425,1,2,0,9,995,0,0
240426,1,2,0,9,995,0,0
240427,1,1,0,9,124,0,0
240428,1,2,0,9,995,0,0
240429,1,1,0,9,995,0,0
240430,1,2,0,9,125,0,0
240431,1,2,0,9,995,0,0
240432,1,1,0,9,5,0,0
240433,1,2,0,9,995,0,0
240434,1,1,0,9,1,0,0
240435,1,2,0,9,995,0,0
240436,1,2,0,9,995,0,0
240437,1,2,0,9,995,0,0
240438,3,1,0,9,995,0,0
240439,1,1,0,9,11,0,9
240440,1,1,0,9,995,0,0
240441,1,2,0,9,995,0,0
240442,1,1,0,9,11,0,0
240443,1,1,0,9,11,0,0
240444,1,1,0,9,91,0,0
240445,3,2,0,9,995,0,0
240446,1,2,0,9,995,0,0
240447,1,1,0,9,2,0,0
240448,1,2,0,9,995,0,0
240449,1,2,0,9,995,0,0
240450,1,1,0,9,126,0,0
240451,3,1,0,9,995,0,0
240452,1,2,0,9,995,0,0
240453,2,1,0,9,1,0,0
240454,1,1,0,9,995,0,0
240455,1,1,0,9,995,0,0
240456,1,2,0,9,995,0,0
240457,1,1,0,9,1,0,0
240458,1,2,0,9,995,0,0
240459,1,1,0,9,1,0,0
240460,1,2,0,9,995,0,0
240461,1,1,0,9,53,0,0
240462,1,2,0,9,995,0,0
240463,1,2,0,9,995,0,0
240464,1,1,0,9,999,0,0
240465,1,1,0,9,1,0,0
240466,1,2,0,9,995,0,0
240467,1,2,0,9,995,0,0
240468,1,1,0,9,102,0,0
240469,1,2,0,9,995,0,0
240470,1,2,0,9,995,0,0
240471,1,1,0,9,1,0,0
240472,6,2,0,9,995,0,0
240473,1,2,0,9,995,0,0
240474,1,1,0,9,995,0,0
240475,1,2,0,9,995,0,0
240476,1,1,0,9,97,0,0
240477,3,2,0,9,22,0,0
240478,1,1,0,9,995,0,0
240479,1,2,0,9,995,0,0
240480,1,2,0,9,125,0,0
240481,1,1,0,9,75,0,0
240482,1,1,0,9,91,0,0
240483,1,2,0,9,995,0,0
240484,1,1,0,9,1,0,0
240485,1,1,0,9,11,0,9
240486,1,1,0,9,995,0,0
240487,2,2,0,9,995,0,0
240488,1,2,0,9,995,0,0
240489,1,2,0,9,995,0,0
240490,1,1,0,9,39,0,0
240491,1,1,0,2,11,0,0
240492,1,1,0,9,39,0,0
240493,1,2,0,9,995,0,0
240494,1,1,0,9,97,0,0
240495,1,2,0,9,995,0,0
240496,1,1,0,9,1,0,0
240497,1,1,0,4,995,0,0
240498,2,2,0,9,995,0,0
240499,1,1,0,9,116,0,0
240500,1,2,0,9,995,0,0
240501,3,2,0,9,995,0,0
240502,1,1,0,9,995,0,0
240503,1,2,0,9,995,0,0
240504,3,1,0,9,998,0,0
240505,1,2,0,9,124,0,0
240506,1,2,0,9,995,0,0
240507,1,1,0,9,77,0,0
240508,1,1,0,9,1,0,0
240509,1,2,0,9,995,0,0
240510,1,2,0,9,995,0,0
240511,1,2,0,9,126,0,0
240512,1,2,0,9,995,0,0
240513,1,1,0,9,995,0,0
240514,1,2,0,9,995,0,0
240515,3,1,0,9,58,0,0
240516,1,1,0,9,995,0,0
240517,1,2,0,9,995,0,0
240518,1,1,0,9,55,0,0
240519,1,2,0,9,995,0,0
240520,1,1,0,9,995,0,0
240521,1,2,0,9,995,0,0
240522,1,1,0,9,118,0,0
240523,1,1,0,9,4,0,0
240524,1,2,0,9,995,0,0
240525,1,2,0,9,90,0,0
240526,1,2,0,9,11,0,0
240527,3,1,0,9,1,0,1
240528,1,1,0,9,995,0,0
240529,1,1,0,9,995,0,0
240530,1,2,0,9,995,0,0
240531,1,1,0,9,995,0,0
240532,1,1,0,9,11,0,0
240533,1,2,0,9,995,0,0
240534,1,2,17,9,995,0,0
240535,1,2,0,9,995,0,0
240536,1,2,0,9,995,0,0
240537,1,1,0,9,119,0,0
240538,1,2,0,9,109,0,0
240539,1,2,0,9,995,0,0
240540,1,2,0,9,995,0,0
240541,1,2,0,9,995,0,0
240542,3,1,0,9,1,0,0
240543,1,1,0,9,995,0,0
240544,1,2,0,9,995,0,0
240545,1,1,0,9,11,0,0
240546,1,2,0,9,90,0,0
240547,1,1,0,9,995,0,0
240548,3,1,0,9,1,0,0
240549,1,2,0,9,995,0,0
240550,2,1,0,9,42,0,0
240551,1,2,0,9,995,0,0
240552,1,1,0,9,995,0,0
240553,3,1,0,9,995,0,0
240554,1,1,0,9,11,0,0
240555,2,2,0,9,118,0,0
240556,1,2,0,9,995,0,0
240557,1,2,0,9,995,0,0
240558,1,2,0,9,995,0,0
240559,1,1,0,9,995,0,0
240560,1,2,0,9,995,0,0
240561,1,1,0,9,1,0,0
240562,3,1,0,9,995,0,0
240563,1,2,0,9,995,0,0
240564,1,1,0,9,121,0,0
240565,1,2,0,9,995,0,0
240566,3,1,0,9,995,0,0
240567,1,1,0,9,995,0,0
240568,1,2,0,9,995,0,0
240569,1,1,0,9,995,0,0
240570,1,2,0,9,995,0,0
240571,1,1,0,9,995,0,0
240572,1,2,0,9,995,0,0
240573,1,1,0,9,11,0,0
240574,3,1,0,9,1,0,0
240575,1,2,0,9,995,0,0
240576,1,1,0,9,995,0,0
240577,1,1,0,9,11,0,0
240578,3,2,0,9,995,0,0
240579,1,2,0,9,995,0,0
240580,1,1,0,9,101,0,0
240581,1,2,0,9,1,0,0
240582,1,1,0,9,131,0,0
240583,1,1,0,9,102,0,0
240584,1,1,0,9,11,0,0
240585,1,1,0,9,1,0,0
240586,1,2,0,9,995,0,0
240587,1,1,0,9,995,0,0
240588,1,1,0,9,995,0,0
240589,4,2,0,9,118,0,0
240590,3,2,0,9,995,0,0
240591,3,1,0,9,995,0,0
240592,1,2,0,9,995,0,0
240593,1,2,0,9,102,0,0
240594,1,1,0,9,11,0,0
240595,1,2,0,9,995,0,0
240596,1,1,0,9,75,0,0
240597,1,1,0,9,995,0,0
240598,1,2,0,9,72,0,0
240599,1,2,0,9,112,0,0
240600,1,1,0,9,131,0,0
240601,1,2,0,9,995,0,0
240602,1,1,0,9,1,0,0
240603,1,1,0,9,995,0,0
240604,1,1,0,9,79,0,0
240605,3,2,0,9,995,0,0
240606,1,1,0,9,19,0,0
240607,3,2,0,9,995,0,0
240608,1,1,0,9,1,0,0
240609,1,2,0,9,995,0,0
240610,1,2,0,9,995,0,0
240611,1,1,0,9,93,0,0
240612,1,2,0,9,102,0,0
240613,1,2,0,9,995,0,0
240614,1,1,0,9,1,12,1
240615,1,2,0,9,995,0,0
240616,1,1,0,9,995,0,0
240617,1,1,0,9,121,0,0
240618,3,2,0,9,995,0,0
240619,1,2,0,9,995,0,0
240620,3,2,0,9,118,0,0
240621,2,2,0,9,995,0,0
240622,1,2,0,9,102,0,0
240623,1,1,0,9,995,0,0
240624,1,1,0,2,995,0,0
240625,1,2,0,9,995,0,0
240626,1,1,0,4,125,0,0
240627,1,2,0,9,995,0,0
240628,1,1,0,9,123,0,0
240629,1,1,0,9,995,0,0
240630,1,1,0,9,116,0,0
240631,2,1,0,6,129,0,0
240632,1,1,0,9,995,0,0
240633,2,1,0,2,995,0,0
240634,1,2,0,9,995,0,0
240635,1,1,0,9,999,0,0
240636,3,2,0,9,1,0,0
240637,1,1,0,9,1,0,0
240638,1,1,0,0,995,0,0
240639,1,1,0,9,995,0,0
240640,1,2,0,9,995,0,0
240641,1,2,0,9,995,0,0
240642,1,1,0,9,124,0,0
240643,1,2,0,9,995,0,0
240644,1,1,0,9,125,0,0
240645,1,1,0,9,995,0,0
240646,1,2,0,9,995,0,0
240647,3,1,0,9,1,0,0
240648,1,1,0,9,91,0,0
240649,1,2,0,9,995,0,0
240650,3,1,0,9,1,0,0
240651,1,1,0,9,995,0,0
240652,1,1,0,9,1,0,0
240653,1,2,0,9,995,0,0
240654,1,1,0,9,995,0,0
240655,1,2,0,9,995,0,0
240656,1,1,0,9,995,0,0
240657,1,2,0,9,124,0,0
240658,1,1,0,9,995,0,0
240659,1,2,0,9,995,0,0
240660,1,1,0,9,995,0,0
240661,1,2,0,9,995,0,0
240662,1,1,0,9,995,0,0
240663,1,1,0,9,995,0,0
240664,1,2,0,9,995,0,0
240665,1,1,0,9,111,0,0
240666,1,1,0,9,995,0,0
240667,1,1,0,9,112,0,0
240668,1,2,0,9,995,0,0
240669,1,1,0,9,58,0,0
240670,3,1,0,9,998,0,0
240671,3,1,0,9,995,0,0
240672,1,2,0,9,118,0,0
240673,1,1,0,9,995,0,0
240674,1,2,0,9,995,0,0
240675,3,1,0,9,1,0,0
240676,1,1,0,9,75,0,0
240677,1,2,0,9,111,0,0
240678,1,2,0,9,995,0,0
240679,1,1,0,9,1,0,0
240680,1,2,0,9,995,0,0
240681,1,2,0,9,995,0,0
240682,1,2,0,9,995,0,0
240683,1,1,0,9,124,0,0
240684,3,1,0,9,995,0,0
240685,1,2,0,9,995,0,0
240686,1,1,0,9,11,0,9
240687,1,2,0,9,999,0,0
240688,1,2,0,9,995,0,0
240689,1,1,0,9,995,0,0
240690,1,2,0,9,995,0,0
240691,4,2,0,9,995,0,0
240692,3,1,0,9,995,0,0
240693,4,1,0,9,80,0,0
240694,1,2,0,9,995,0,0
240695,1,1,0,9,995,0,0
240696,1,2,0,9,995,0,0
240697,1,2,0,9,75,0,0
240698,1,1,0,9,995,0,0
240699,1,2,0,9,124,0,0
240700,1,1,0,9,995,0,0
240701,1,2,0,9,125,0,0
240702,1,1,0,9,1,0,0
240703,1,2,0,9,995,0,0
240704,1,2,0,9,995,0,0
240705,3,2,0,9,995,0,0
240706,1,1,0,9,995,0,0
240707,1,2,0,9,995,0,0
240708,1,2,0,9,124,0,0
240709,1,1,0,9,995,0,0
240710,1,1,0,9,79,0,0
240711,1,1,0,9,131,0,0
240712,1,1,0,9,995,0,0
240713,1,2,0,9,995,0,0
240714,3,2,0,9,995,0,0
240715,1,2,0,9,995,0,0
240716,1,2,0,9,999,0,0
240717,2,1,0,9,64,0,0
240718,1,2,0,9,995,0,0
240719,1,2,0,9,995,0,0
240720,1,1,0,9,131,0,0
240721,3,2,0,9,995,0,0
240722,1,2,0,9,995,0,0
240723,1,1,0,9,1,0,0
240724,1,2,0,9,995,0,0
240725,1,2,0,9,995,0,0
240726,1,1,0,9,112,0,0
240727,1,1,0,9,995,0,0
240728,2,1,0,9,104,0,0
240729,1,1,0,9,12,0,0
240730,1,1,0,9,995,0,0
240731,1,2,0,9,995,0,0
240732,1,1,0,9,995,0,0
240733,1,2,0,9,995,0,0
240734,1,1,0,9,1,0,1
240735,1,1,0,9,995,0,0
240736,1,2,0,9,124,0,0
240737,1,2,0,9,995,0,0
240738,1,1,0,9,995,0,0
240739,1,2,0,9,995,0,0
240740,1,2,0,9,995,0,0
240741,3,2,0,9,995,0,0
240742,1,1,0,9,995,0,0
240743,1,2,18,9,995,0,0
240744,1,1,0,9,995,0,0
240745,1,2,0,9,995,0,0
240746,1,1,0,9,999,0,0
240747,1,1,0,9,995,0,0
240748,1,2,0,9,995,0,0
240749,1,1,0,9,995,0,0
240750,3,1,0,9,1,0,1
240751,1,1,0,9,90,0,0
240752,1,2,17,9,119,0,0
240753,1,2,0,9,995,0,0
240754,1,2,0,9,995,0,0
240755,1,2,0,9,995,0,0
240756,1,2,0,9,995,0,0
240757,1,1,0,9,77,0,0
240758,1,1,0,9,995,0,0
240759,1,1,0,9,1,0,0
240760,1,2,0,9,118,0,0
240761,1,2,0,9,995,0,0
240762,1,1,0,9,995,0,0
240763,1,2,0,9,995,0,0
240764,1,2,0,9,995,0,0
240765,1,1,0,9,1,0,0
240766,1,2,0,9,995,0,0
240767,1,2,0,9,91,0,0
240768,1,2,0,8,995,0,0
240769,3,2,0,9,995,0,0
240770,1,1,0,9,995,0,0
240771,1,1,0,9,995,0,0
240772,1,2,0,9,995,0,0
240773,1,2,17,9,995,0,0
240774,1,1,0,9,1,0,0
240775,3,1,0,9,1,0,0
240776,1,2,0,9,995,0,0
240777,3,1,0,9,1,0,0
240778,1,1,0,9,995,0,0
240779,1,2,0,9,995,0,0
240780,1,1,0,9,1,0,0
240781,1,1,0,9,131,0,0
240782,3,2,0,9,995,0,0
240783,1,1,0,9,111,0,0
240784,3,1,0,9,1,0,0
240785,1,2,0,9,995,0,0
240786,3,1,0,9,995,0,0
240787,3,1,0,9,995,0,0
240788,1,2,0,9,995,0,0
240789,1,1,0,9,995,0,0
240790,1,2,0,9,995,0,0
240791,1,1,0,9,995,0,0
240792,1,2,0,9,995,0,0
240793,1,2,0,9,995,0,0
240794,1,2,0,9,995,0,0
240795,1,2,0,9,995,0,0
240796,1,2,0,9,995,0,0
240797,1,2,0,9,995,0,0
240798,1,1,0,9,75,0,0
240799,1,2,0,9,124,0,0
240800,3,2,0,9,995,0,0
240801,1,2,0,9,995,0,0
240802,1,1,0,9,1,0,0
240803,1,2,0,9,995,0,0
240804,3,1,0,9,11,0,0
240805,1,1,0,9,90,0,9
240806,1,1,0,9,112,0,0
240807,1,1,0,9,995,0,0
240808,1,1,0,9,995,0,0
240809,1,1,0,9,5,0,0
240810,1,2,0,9,995,0,0
240811,1,1,0,9,57,0,0
240812,1,2,0,9,995,1,0
240813,3,1,0,9,995,0,0
240814,1,1,0,9,995,0,0
240815,1,1,0,9,11,0,0
240816,1,1,0,9,995,0,0
240817,1,1,0,9,995,0,0
240818,1,1,0,9,90,0,0
240819,1,2,0,9,995,0,0
