ID,F37,F41,F3,F13,F18,F23,F30
240220,1,1,4,1,1,0,9
240221,1,1,6,2,0,1,2
240222,1,1,453,1,0,2,1
240223,1,1,4,1,0,0,2
240224,1,2,4,1,0,1,2
240225,1,1,5,1,0,2,3
240226,3,2,4,2,0,1,2
240227,3,2,4,2,0,0,1
240228,1,2,4,1,1,1,2
240229,1,2,4,1,1,0,1
240230,1,1,4,1,1,0,1
240231,3,2,4,1,0,0,9
240232,1,1,29,2,0,2,1
240233,1,1,48,2,0,2,3
240234,1,1,4,1,0,2,9
240235,1,2,20,1,0,1,3
240236,1,2,4,1,0,0,9
240237,1,1,4,1,0,1,2
240238,1,1,200,1,1,0,2
240239,1,1,47,1,0,2,2
240240,1,2,4,1,0,0,2
240241,1,2,55,1,0,2,2
240242,1,1,32,1,0,2,2
240243,1,2,17,1,0,1,2
240244,1,2,40,2,0,1,3
240245,1,1,4,1,0,2,2
240246,1,1,200,1,1,2,1
240247,1,1,35,1,0,2,2
240248,3,1,4,2,0,2,2
240249,1,1,54,1,0,1,1
240250,1,2,4,1,1,1,1
240251,1,1,4,1,1,1,2
240252,3,1,4,2,0,0,9
240253,1,2,4,1,0,1,2
240254,1,2,4,1,0,0,9
240255,1,2,4,1,0,2,9
240256,3,1,4,2,0,2,1
240257,1,2,1,1,0,1,2
240258,1,1,4,1,0,0,2
240259,1,1,5,1,0,1,1
240260,1,1,48,1,1,0,2
240261,1,2,4,1,0,1,2
240262,1,2,48,1,0,1,2
240263,1,1,37,1,0,2,2
240264,1,2,40,2,0,1,2
240265,1,2,6,2,1,1,2
240266,1,1,4,1,0,2,2
240267,1,2,4,1,0,0,2
240268,1,1,49,1,0,0,2
240269,1,2,6,1,1,1,2
240270,1,1,29,1,0,0,3
240271,1,2,200,1,1,1,2
240272,1,2,5,1,0,1,9
240273,3,1,4,2,0,1,1
240274,1,1,200,1,1,1,2
240275,1,1,48,1,0,2,3
240276,1,2,200,2,1,1,2
240277,1,1,47,1,0,2,1
240278,1,2,5,1,0,1,2
240279,1,1,4,1,1,2,1
240280,3,2,4,2,0,2,2
240281,1,2,4,1,0,0,9
240282,1,1,47,1,0,2,2
240283,1,2,35,1,0,2,2
240284,1,1,4,1,1,0,9
240285,3,2,4,2,0,1,2
240286,1,2,48,1,0,1,3
240287,1,2,29,1,0,2,3
240288,1,2,4,1,0,0,2
240289,1,2,18,1,0,1,3
240290,1,1,414,1,0,2,2
240291,2,1,4,1,0,0,1
240292,3,2,4,1,0,0,9
240293,1,1,4,1,0,2,2
240294,1,2,5,1,0,1,3
240295,1,2,4,1,0,0,9
240296,1,2,48,1,0,0,9
240297,1,2,200,1,1,1,2
240298,1,2,48,1,0,1,2
240299,1,1,515,2,0,2,2
240300,1,2,40,2,0,0,2
240301,1,2,56,1,0,1,3
240302,1,2,4,1,1,2,1
240303,1,2,4,1,0,0,9
240304,1,1,48,1,0,0,9
240305,1,2,4,2,0,2,2
240306,3,2,4,1,0,0,9
240307,1,1,4,2,0,2,1
240308,1,1,4,1,0,0,9
240309,1,2,200,1,1,1,1
240310,1,1,4,2,0,0,2
240311,1,1,48,2,0,0,3
240312,3,2,4,1,0,2,2
240313,1,2,48,2,0,0,2
240314,1,2,411,1,0,2,2
240315,1,1,4,2,0,2,1
240316,2,1,29,1,0,2,2
240317,1,2,20,1,0,1,9
240318,1,1,20,1,0,2,9
240319,2,1,19,1,0,1,2
240320,1,1,48,1,0,2,2
240321,1,2,4,1,1,2,1
240322,1,1,20,1,0,2,2
240323,1,2,48,2,0,1,9
240324,2,2,48,1,0,2,2
240325,2,2,47,2,0,1,3
240326,1,1,48,1,0,2,2
240327,2,1,48,1,0,2,2
240328,1,1,48,1,0,2,3
240329,1,2,200,1,1,2,2
240330,3,1,4,2,0,0,9
240331,1,2,200,2,1,1,2
240332,3,1,4,2,0,0,9
240333,1,1,35,1,1,2,9
240334,1,2,4,1,1,1,1
240335,1,1,48,1,0,2,3
240336,1,1,48,2,0,2,1
240337,1,1,4,1,0,1,1
240338,1,1,4,1,0,0,9
240339,1,1,4,1,0,2,2
240340,1,1,19,2,0,2,2
240341,1,2,4,1,1,1,9
240342,2,1,48,1,0,2,2
240343,1,1,6,1,0,2,2
240344,1,2,200,2,1,1,2
240345,3,1,4,2,0,1,2
240346,1,1,4,1,1,0,9
240347,1,1,20,1,0,2,2
240348,3,2,4,1,0,1,2
240349,1,2,5,1,0,0,2
240350,1,1,5,2,0,2,2
240351,1,2,5,1,0,1,3
240352,1,1,200,1,1,2,1
240353,1,2,4,1,0,1,2
240354,1,2,26,1,0,0,2
240355,1,2,40,2,0,1,1
240356,1,1,4,1,0,2,1
240357,1,2,26,2,0,1,2
240358,1,2,47,1,0,1,2
240359,1,2,541,2,0,1,1
240360,1,1,4,1,1,0,2
240361,3,2,35,1,0,0,9
240362,1,1,48,2,0,2,2
240363,1,1,5,1,0,0,3
240364,1,2,4,1,0,1,1
240365,1,1,4,1,1,0,2
240366,1,1,200,1,1,0,4
240367,1,2,29,1,0,1,1
240368,1,2,6,1,0,1,2
240369,1,2,4,1,0,0,9
240370,3,2,4,2,0,1,2
240371,1,1,48,1,0,2,2
240372,1,2,4,1,1,1,2
240373,3,2,4,2,0,0,1
240374,1,1,48,1,0,1,1
240375,1,2,29,2,0,1,2
240376,1,2,434,1,1,1,9
240377,1,1,4,1,1,0,9
240378,1,2,36,1,0,2,2
240379,3,1,4,2,0,0,2
240380,1,2,4,1,1,1,2
240381,2,2,22,1,0,1,2
240382,1,1,4,1,0,0,2
240383,1,1,18,1,0,2,3
240384,1,2,49,2,0,1,1
240385,1,2,18,2,0,1,3
240386,3,1,4,2,0,1,1
240387,1,2,5,1,0,1,9
240388,1,2,4,1,1,1,1
240389,1,2,40,1,0,0,3
240390,3,2,4,2,0,0,2
240391,1,2,4,1,1,2,2
240392,1,1,19,2,0,1,1
240393,1,1,4,1,0,1,1
240394,3,1,4,2,0,1,2
240395,1,2,4,1,1,0,1
240396,1,2,48,1,0,1,9
240397,1,2,4,1,1,1,2
240398,1,1,47,1,0,2,2
240399,1,2,4,1,0,1,2
240400,1,2,48,1,1,1,9
240401,1,2,35,1,1,0,9
240402,1,2,4,1,0,0,1
240403,1,1,40,2,0,0,9
240404,1,2,8,1,0,2,2
240405,1,1,35,1,0,1,2
240406,1,1,4,2,0,0,9
240407,1,2,4,1,0,0,9
240408,1,1,48,1,0,1,2
240409,1,1,4,1,1,0,2
240410,1,2,4,1,0,0,9
240411,1,2,4,2,0,0,1
240412,1,1,4,1,1,0,9
240413,1,1,4,1,0,0,9
240414,1,2,48,1,0,1,3
240415,1,2,30,1,0,1,2
240416,3,1,4,2,0,2,1
240417,1,2,35,1,0,1,2
240418,3,2,4,2,0,0,1
240419,1,2,40,1,0,0,3
240420,1,2,4,1,1,1,2
240421,1,1,200,2,1,2,2
240422,1,1,8,1,0,0,2
240423,1,1,29,2,0,1,2
240424,1,2,4,1,1,1,2
240425,1,2,4,1,0,1,2
240426,1,2,4,1,1,0,9
240427,1,1,35,1,0,2,2
240428,1,2,4,1,0,1,2
240429,1,1,405,1,0,1,2
240430,1,2,48,1,0,2,1
240431,1,2,35,1,0,0,3
240432,1,1,9,1,0,2,2
240433,1,2,40,2,0,0,3
240434,1,1,21,1,0,2,1
240435,1,2,4,1,1,0,2
240436,1,2,48,1,0,0,9
240437,1,2,4,1,0,1,2
240438,3,1,4,2,0,0,2
240439,1,1,4,1,1,2,2
240440,1,1,4,1,1,0,1
240441,1,2,4,2,1,0,2
240442,1,1,5,1,0,2,2
240443,1,1,4,1,0,2,2
240444,1,1,48,1,0,2,2
240445,3,2,4,2,0,0,1
240446,1,2,200,1,1,1,2
240447,1,1,35,1,0,2,1
240448,1,2,48,1,0,1,2
240449,1,2,4,1,0,1,1
240450,1,1,4,1,0,2,2
240451,3,1,4,2,0,0,9
240452,1,2,4,1,1,1,1
240453,2,1,48,1,0,2,3
240454,1,1,453,1,0,1,9
240455,1,1,40,1,0,0,3
240456,1,2,39,1,0,1,2
240457,1,1,200,1,1,2,2
240458,1,2,4,1,0,0,2
240459,1,1,19,2,0,2,2
240460,1,2,4,1,1,0,2
240461,1,1,4,1,1,2,2
240462,1,2,455,1,0,1,1
240463,1,2,39,1,0,2,3
240464,1,1,16,1,0,2,2
240465,1,1,4,2,0,2,2
240466,1,2,36,1,0,0,3
240467,1,2,20,1,0,1,3
240468,1,1,40,1,0,2,3
240469,1,2,48,1,0,1,1
240470,1,2,200,1,1,1,2
240471,1,1,47,2,0,2,3
240472,6,2,4,1,0,0,2
240473,1,2,48,1,0,1,1
240474,1,1,4,1,1,0,2
240475,1,2,4,1,0,0,9
240476,1,1,29,1,0,2,1
240477,3,2,4,2,0,2,2
240478,1,1,4,1,0,0,9
240479,1,2,48,1,0,1,2
240480,1,2,25,1,0,2,2
240481,1,1,40,1,0,2,3
240482,1,1,434,1,0,2,2
240483,1,2,17,1,0,1,2
240484,1,1,5,2,0,2,3
240485,1,1,4,1,1,2,2
240486,1,1,4,1,0,1,1
240487,2,2,48,1,0,1,2
240488,1,2,4,1,0,1,2
240489,1,2,4,2,0,1,1
240490,1,1,16,1,0,2,2
240491,1,1,54,1,0,2,1
240492,1,1,5,1,0,2,3
240493,1,2,200,1,1,1,2
240494,1,1,4,1,1,2,2
240495,1,2,18,1,0,1,3
240496,1,1,40,2,0,1,2
240497,1,1,47,1,0,1,3
240498,2,2,4,1,0,1,1
240499,1,1,26,1,0,2,2
240500,1,2,4,2,0,1,2
240501,3,2,4,1,1,1,1
240502,1,1,4,1,0,0,9
240503,1,2,6,1,0,0,9
240504,3,1,4,2,0,2,9
240505,1,2,48,1,0,2,1
240506,1,2,40,1,0,1,9
240507,1,1,48,1,0,2,1
240508,1,1,4,2,0,2,2
240509,1,2,4,1,0,0,9
240510,1,2,4,1,0,0,9
240511,1,2,29,1,0,2,3
240512,1,2,4,1,0,1,3
240513,1,1,36,1,0,1,1
240514,1,2,6,1,1,1,2
240515,3,1,4,1,1,2,1
240516,1,1,6,1,0,0,2
240517,1,2,4,1,1,1,2
240518,1,1,20,1,0,2,3
240519,1,2,40,2,0,0,3
240520,1,1,4,2,1,1,2
240521,1,2,22,1,0,1,2
240522,1,1,48,1,0,2,2
240523,1,1,29,1,0,1,3
240524,1,2,20,1,0,0,9
240525,1,2,17,2,0,2,1
240526,1,2,48,1,0,2,2
240527,3,1,4,2,0,2,1
240528,1,1,35,1,1,1,2
240529,1,1,40,1,0,0,3
240530,1,2,28,2,0,1,3
240531,1,1,17,1,0,0,9
240532,1,1,6,1,0,2,2
240533,1,2,4,1,0,0,2
240534,1,2,26,1,0,1,1
240535,1,2,4,1,0,1,2
240536,1,2,31,2,0,1,1
240537,1,1,29,1,0,2,3
240538,1,2,30,1,0,2,1
240539,1,2,4,1,0,1,3
240540,1,2,40,1,0,0,3
240541,1,2,35,1,1,1,3
240542,3,1,4,2,0,2,1
240543,1,1,4,1,0,0,9
240544,1,2,40,1,0,1,2
240545,1,1,4,1,0,2,2
240546,1,2,40,1,0,2,3
240547,1,1,4,1,0,0,9
240548,3,1,4,2,0,2,2
240549,1,2,6,1,0,1,2
240550,2,1,48,1,0,2,3
240551,1,2,40,2,0,1,2
240552,1,1,48,2,0,0,3
240553,3,1,4,2,0,0,2
240554,1,1,19,1,0,2,3
240555,2,2,4,1,0,2,1
240556,1,2,200,1,1,1,3
240557,1,2,4,1,1,0,1
240558,1,2,4,1,1,0,2
240559,1,1,4,1,0,0,9
240560,1,2,4,1,1,0,9
240561,1,1,4,1,1,2,2
240562,3,1,4,2,0,0,2
240563,1,2,42,1,0,1,3
240564,1,1,5,1,0,2,9
240565,1,2,200,1,1,1,1
240566,3,1,4,2,0,0,9
240567,1,1,4,2,0,0,9
240568,1,2,40,1,0,0,3
240569,1,1,35,1,0,0,2
240570,1,2,40,2,0,1,3
240571,1,1,6,1,0,0,3
240572,1,2,40,1,0,0,3
240573,1,1,29,1,0,2,2
240574,3,1,4,2,0,2,2
240575,1,2,4,1,1,1,1
240576,1,1,4,2,0,0,2
240577,1,1,40,2,0,2,2
240578,3,2,4,2,0,1,2
240579,1,2,17,1,0,1,2
240580,1,1,4,1,0,2,2
240581,1,2,13,1,0,1,2
240582,1,1,17,1,0,2,9
240583,1,1,4,1,0,2,2
240584,1,1,35,1,0,2,2
240585,1,1,5,2,0,2,3
240586,1,2,27,1,0,1,1
240587,1,1,4,2,0,0,9
240588,1,1,4,1,1,0,2
240589,4,2,48,1,0,1,2
240590,3,2,4,2,0,0,1
240591,3,1,4,2,0,0,1
240592,1,2,49,2,0,1,1
240593,1,2,5,1,0,2,3
240594,1,1,17,1,0,2,2
240595,1,2,4,1,1,1,1
240596,1,1,20,1,0,2,1
240597,1,1,4,1,1,1,2
240598,1,2,40,1,0,2,2
240599,1,2,4,1,0,1,2
240600,1,1,4,1,0,2,2
240601,1,2,19,1,0,1,2
240602,1,1,438,2,4,2,1
240603,1,1,48,1,0,1,3
240604,1,1,20,1,0,2,1
240605,3,2,4,2,0,0,2
240606,1,1,20,1,0,2,2
240607,3,2,4,2,0,1,1
240608,1,1,4,2,0,2,2
240609,1,2,4,1,1,0,2
240610,1,2,4,1,1,1,2
240611,1,1,35,2,0,2,9
240612,1,2,40,1,0,2,2
240613,1,2,5,1,0,1,2
240614,1,1,200,1,1,2,1
240615,1,2,30,1,0,1,2
240616,1,1,36,1,0,1,2
240617,1,1,4,1,0,2,1
240618,3,2,4,1,0,0,2
240619,1,2,4,2,0,1,2
240620,3,2,4,2,0,1,9
240621,2,2,4,1,0,0,2
240622,1,2,48,1,0,2,3
240623,1,1,6,1,0,0,3
240624,1,1,28,1,0,1,9
240625,1,2,20,1,0,0,3
240626,1,1,51,1,0,2,4
240627,1,2,4,1,0,1,1
240628,1,1,410,1,0,2,2
240629,1,1,4,1,1,0,2
240630,1,1,19,1,0,2,2
240631,2,1,22,1,0,2,2
240632,1,1,414,1,0,1,2
240633,2,1,48,1,0,1,9
240634,1,2,5,2,0,1,3
240635,1,1,8,1,0,1,2
240636,3,2,4,2,0,2,2
240637,1,1,48,1,0,1,3
240638,1,1,4,1,0,1,1
240639,1,1,4,1,1,0,9
240640,1,2,4,1,0,0,9
240641,1,2,465,2,0,1,2
240642,1,1,31,1,0,2,2
240643,1,2,200,1,1,1,2
240644,1,1,27,1,0,2,3
240645,1,1,48,1,0,1,3
240646,1,2,40,1,0,0,3
240647,3,1,4,2,0,2,1
240648,1,1,5,1,0,2,2
240649,1,2,35,1,1,1,2
240650,3,1,4,2,0,2,9
240651,1,1,40,1,0,0,9
240652,1,1,48,1,0,2,3
240653,1,2,4,2,0,1,2
240654,1,1,4,1,1,0,1
240655,1,2,4,1,0,1,2
240656,1,1,410,1,0,1,1
240657,1,2,51,1,0,2,2
240658,1,1,4,2,0,1,2
240659,1,2,39,1,0,1,3
240660,1,1,16,1,0,0,3
240661,1,2,4,1,0,0,9
240662,1,1,4,1,0,0,2
240663,1,1,4,1,0,0,2
240664,1,2,4,1,1,1,9
240665,1,1,42,1,0,2,3
240666,1,1,40,1,0,0,3
240667,1,1,21,1,0,2,9
240668,1,2,4,1,0,1,1
240669,1,1,18,1,0,2,9
240670,3,1,4,2,0,2,9
240671,3,1,4,1,1,0,9
240672,1,2,4,1,0,1,1
240673,1,1,48,1,0,1,3
240674,1,2,453,1,0,1,1
240675,3,1,4,2,0,2,2
240676,1,1,20,1,0,2,2
240677,1,2,17,1,0,2,3
240678,1,2,200,1,1,1,2
240679,1,1,31,2,0,2,3
240680,1,2,39,1,0,1,2
240681,1,2,19,1,0,0,3
240682,1,2,4,1,0,1,2
240683,1,1,18,1,0,2,2
240684,3,1,4,2,0,0,9
240685,1,2,200,1,1,1,2
240686,1,1,40,1,0,2,2
240687,1,2,48,1,0,2,2
240688,1,2,4,1,0,0,9
240689,1,1,4,2,1,0,9
240690,1,2,48,1,0,1,1
240691,4,2,4,1,0,0,2
240692,3,1,4,1,0,0,9
240693,4,1,500,1,0,2,2
240694,1,2,48,2,0,1,3
240695,1,1,4,1,1,0,9
240696,1,2,40,2,0,1,3
240697,1,2,20,1,0,1,3
240698,1,1,200,1,1,1,1
240699,1,2,17,1,0,2,2
240700,1,1,4,1,1,0,2
240701,1,2,24,1,0,2,2
240702,1,1,53,2,0,2,3
240703,1,2,21,1,0,1,3
240704,1,2,4,2,1,0,1
240705,3,2,4,1,1,0,2
240706,1,1,48,2,0,0,3
240707,1,2,36,1,0,1,3
240708,1,2,35,1,0,2,2
240709,1,1,4,1,0,0,1
240710,1,1,40,1,0,2,2
240711,1,1,4,1,0,2,1
240712,1,1,4,1,0,1,2
240713,1,2,4,1,1,1,1
240714,3,2,4,1,1,1,1
240715,1,2,40,2,0,0,9
240716,1,2,4,1,1,1,1
240717,2,1,22,1,0,2,2
240718,1,2,4,1,1,0,9
240719,1,2,4,2,1,1,1
240720,1,1,20,1,0,2,1
240721,3,2,4,1,1,0,9
240722,1,2,6,1,0,0,2
240723,1,1,29,2,0,2,1
240724,1,2,4,1,0,0,9
240725,1,2,48,2,0,1,2
240726,1,1,36,1,0,2,9
240727,1,1,40,2,0,1,2
240728,2,1,40,1,0,2,9
240729,1,1,17,1,0,2,9
240730,1,1,48,2,0,1,2
240731,1,2,5,2,0,1,2
240732,1,1,4,2,0,0,9
240733,1,2,35,1,0,1,2
240734,1,1,6,1,1,2,2
240735,1,1,4,1,0,1,2
240736,1,2,29,1,0,2,2
240737,1,2,4,1,0,1,1
240738,1,1,4,1,0,1,2
240739,1,2,4,2,0,0,1
240740,1,2,29,1,0,1,2
240741,3,2,4,2,0,1,2
240742,1,1,4,1,1,0,9
240743,1,2,48,1,0,1,3
240744,1,1,4,2,0,0,2
240745,1,2,48,2,0,1,1
240746,1,1,42,1,0,1,3
240747,1,1,4,1,0,0,2
240748,1,2,36,1,0,1,3
240749,1,1,4,2,1,0,9
240750,3,1,4,2,0,2,2
240751,1,1,4,1,0,2,2
240752,1,2,42,1,0,2,3
240753,1,2,17,1,0,1,3
240754,1,2,17,1,0,1,2
240755,1,2,200,1,1,1,1
240756,1,2,17,1,0,1,1
240757,1,1,6,2,0,2,2
240758,1,1,5,1,1,0,2
240759,1,1,453,2,0,2,1
240760,1,2,4,1,0,1,2
240761,1,2,4,1,1,1,3
240762,1,1,4,1,0,0,9
240763,1,2,4,1,0,1,2
240764,1,2,4,1,1,0,2
240765,1,1,200,1,1,2,2
240766,1,2,35,1,1,1,9
240767,1,2,13,1,0,2,2
240768,1,2,4,1,1,0,2
240769,3,2,4,1,1,1,2
240770,1,1,4,1,0,0,2
240771,1,1,35,2,1,0,2
240772,1,2,20,1,0,1,3
240773,1,2,39,2,0,1,1
240774,1,1,4,2,0,2,1
240775,3,1,4,2,0,2,2
240776,1,2,200,2,1,1,2
240777,3,1,4,2,0,2,2
240778,1,1,4,1,0,0,9
240779,1,2,4,2,0,1,2
240780,1,1,48,2,0,2,2
240781,1,1,4,1,0,2,2
240782,3,2,4,1,0,1,2
240783,1,1,48,1,0,2,1
240784,3,1,4,2,0,2,2
240785,1,2,48,1,0,1,2
240786,3,1,4,2,0,0,2
240787,3,1,4,2,0,0,1
240788,1,2,6,1,0,1,3
240789,1,1,4,1,1,0,9
240790,1,2,40,1,0,1,2
240791,1,1,4,1,1,0,2
240792,1,2,10,1,0,1,2
240793,1,2,19,1,0,1,9
240794,1,2,4,1,1,0,2
240795,1,2,4,1,0,0,9
240796,1,2,40,1,0,1,2
240797,1,2,35,2,1,1,2
240798,1,1,31,1,0,2,2
240799,1,2,4,1,0,2,1
240800,3,2,4,2,0,0,2
240801,1,2,4,1,1,1,1
240802,1,1,4,2,0,2,2
240803,1,2,48,1,0,0,3
240804,3,1,4,2,0,2,2
240805,1,1,29,2,0,2,3
240806,1,1,29,1,0,2,1
240807,1,1,4,1,0,0,9
240808,1,1,48,1,0,1,3
240809,1,1,35,1,1,2,1
240810,1,2,4,1,0,0,2
240811,1,1,20,1,0,2,2
240812,1,2,200,1,1,1,2
240813,3,1,4,2,0,0,9
240814,1,1,29,1,0,0,9
240815,1,1,200,1,1,2,1
240816,1,1,4,2,0,1,1
240817,1,1,4,2,1,0,9
240818,1,1,53,1,0,2,9
240819,1,2,4,1,1,0,1
