ID,F37,F41,F2,F17,F22,F32,F47,F1,F3,F5,F9,F10,F11,F12,F13,F15,F18,F21,F23,F25,F30,F33,F36,F43,F50
240038,1,2,0,9,995,0,0,9,40,0,999,1,3,8,1,1,0,999998,0,6,3,0,1,1,0
240039,1,1,0,9,33,0,0,21,4,0,15,4,1,3,1,1,0,50,2,1,2,0,2,1,14
240040,1,2,0,9,995,0,0,2,48,0,999,0,3,6,1,1,0,999998,0,6,9,0,2,1,0
240041,1,2,0,9,995,0,0,11,48,0,999,1,3,7,1,1,0,999998,0,6,3,0,2,1,0
240042,1,1,0,9,11,0,0,24,4,0,32,3,2,6,2,1,0,280,2,1,2,0,2,1,52
240043,1,1,0,9,123,0,0,31,8,0,999,0,1,3,1,1,0,1260,2,1,3,0,2,1,52
240044,3,1,0,9,1,0,0,23,4,0,999,5,1,3,2,1,0,769,2,1,2,0,1,1,52
240045,1,2,0,9,118,0,0,7,4,0,999,1,3,9,1,1,1,999998,0,6,2,0,2,2,0
240046,1,1,0,9,125,0,0,31,4,0,999,2,1,1,1,1,0,900,2,5,2,0,2,2,52
240047,1,2,0,9,995,0,0,72,42,0,999,0,3,1,1,1,0,0,1,5,1,0,1,1,0
240048,1,1,0,9,995,0,0,10,4,0,999,1,3,3,1,1,1,999998,0,6,2,0,2,2,0
240049,1,1,0,9,75,0,0,41,26,0,999,6,1,6,1,1,0,0,2,1,1,0,1,1,52
240050,3,1,0,9,1,0,0,48,1,0,999,2,1,4,2,1,0,3000,2,1,1,0,1,1,40
240051,3,1,0,9,995,0,0,68,4,0,999,0,3,7,2,1,0,0,1,1,2,0,1,1,0
240052,1,1,0,9,995,0,0,11,4,0,999,1,3,4,1,1,0,999998,0,6,1,0,1,2,0
240053,1,2,0,9,995,0,0,25,28,0,999,2,3,7,1,1,0,0,1,1,3,0,2,1,0
240054,1,2,0,9,995,0,0,28,4,0,999,2,3,10,1,1,1,0,1,1,2,0,1,1,0
240055,1,2,0,9,995,0,0,6,4,0,999,0,3,4,1,1,1,999998,0,6,2,0,2,2,0
240056,2,1,0,9,124,0,0,51,17,0,999,0,1,1,1,1,0,2350,2,5,2,0,2,2,45
240057,1,1,0,9,1,0,0,24,4,0,999,3,1,5,1,1,0,1900,2,1,2,0,1,2,52
240058,1,2,0,9,995,0,0,38,4,0,999,1,2,1,1,1,0,0,2,2,2,0,2,2,0
240059,1,2,0,4,125,0,0,26,13,0,999,8,1,1,1,1,0,600,2,2,9,0,2,2,52
240060,1,1,0,9,118,0,0,35,35,0,999,8,1,2,1,1,0,0,2,1,1,0,2,1,52
240061,2,1,0,9,998,0,0,29,5,0,146,2,2,2,1,2,0,200,2,1,2,0,1,2,34
240062,1,2,0,9,995,0,0,11,4,0,999,2,3,6,1,1,0,999998,0,6,2,0,2,2,0
240063,1,1,0,9,11,0,0,25,40,0,120,2,1,5,1,1,0,900,2,1,2,0,1,1,52
240064,3,2,0,9,995,0,0,34,4,0,999,2,3,6,1,1,1,0,1,1,1,0,1,1,0
240065,1,1,0,9,102,0,0,52,4,0,999,2,1,5,1,1,0,528,2,1,1,0,2,2,44
240066,1,1,0,9,995,0,0,15,35,0,999,3,3,7,1,1,0,0,1,6,3,0,1,2,0
240067,3,2,0,9,995,0,0,4,4,0,999,0,3,6,2,1,0,999998,0,6,9,0,1,1,0
240068,1,2,0,9,995,0,0,2,4,0,999,0,3,4,1,1,0,999998,0,6,9,0,2,1,0
240069,1,1,0,9,5,0,0,61,26,0,999,1,1,1,1,1,0,700,2,4,3,0,1,1,15
240070,1,1,0,9,5,0,0,33,200,3,999,2,1,1,1,1,1,400,2,4,2,0,2,1,26
240071,1,2,0,9,995,0,0,1,4,0,999,0,3,3,1,1,1,999998,0,6,9,0,2,1,0
240072,1,2,0,2,995,0,0,6,6,0,999,1,3,6,1,1,0,999998,0,6,2,1,2,1,0
240073,3,1,0,9,995,0,0,2,4,0,999,0,3,11,2,1,0,999998,0,6,9,0,1,1,0
240074,1,2,0,9,995,0,0,50,29,0,999,6,3,7,1,1,0,0,1,1,2,0,2,2,0
240075,1,1,0,9,1,0,0,23,48,0,10,2,2,4,1,1,0,360,2,1,3,0,2,1,16
240076,1,1,0,9,995,0,0,16,6,0,999,2,1,3,1,1,0,0,2,6,2,0,2,1,4
240077,3,1,0,9,995,0,0,13,4,0,999,1,3,8,2,1,0,999998,0,6,2,0,1,1,0
240078,3,2,0,9,26,0,0,28,4,0,999,0,1,8,1,1,1,91,2,1,2,0,1,1,36
240079,3,1,0,9,995,0,0,2,4,0,999,99,3,6,2,1,0,999998,0,6,9,1,1,1,0
240080,1,1,0,9,995,0,0,4,40,0,999,0,3,11,2,1,0,999998,0,6,9,0,1,1,0
240081,1,1,0,9,32,0,0,43,19,0,999,2,1,7,1,1,0,286,2,1,3,0,2,1,26
240082,3,2,0,9,1,0,0,42,4,0,999,0,1,6,2,1,0,472,2,1,1,0,1,1,30
240083,1,2,0,9,995,0,0,13,4,0,999,5,3,4,2,1,0,999998,0,6,1,0,1,1,0
240084,1,1,0,9,1,0,0,26,42,0,999,6,1,4,2,1,0,0,2,1,3,0,1,1,52
240085,1,2,0,9,995,0,0,11,4,0,999,1,3,6,1,1,1,999998,0,6,2,4,2,2,0
240086,1,2,0,9,995,0,0,29,48,0,999,4,3,7,1,1,0,0,1,1,3,0,2,1,0
240087,3,1,0,9,1,0,0,48,4,0,999,0,1,12,2,1,0,0,2,1,2,0,1,1,52
240088,1,1,0,9,995,0,0,1,20,0,999,0,3,6,2,1,0,999998,0,6,9,0,2,1,0
240089,1,2,0,9,995,0,0,8,21,0,999,1,3,5,2,1,0,999998,0,6,3,0,2,1,0
240090,1,2,0,9,995,0,0,30,13,0,999,2,3,6,1,1,0,0,1,1,3,0,2,1,0
240091,3,2,0,9,995,0,0,6,4,0,999,1,3,1,1,1,0,999998,0,6,2,0,2,1,0
240092,1,2,0,9,995,0,0,48,4,0,999,5,3,5,1,1,0,0,1,5,2,0,1,2,0
240093,1,1,0,9,11,0,0,43,18,0,999,6,1,5,1,1,0,400,2,1,1,0,1,2,52
240094,1,2,0,9,995,0,0,28,39,0,999,6,3,2,1,1,0,999998,1,1,2,0,1,1,0
240095,1,1,0,9,1,0,0,16,6,0,999,2,1,4,1,1,1,0,2,6,3,0,1,1,0
240096,1,2,0,9,995,0,0,14,4,0,999,2,3,10,1,1,1,0,1,6,2,0,2,2,0
240097,1,1,0,9,5,0,0,45,19,0,999,2,1,4,1,1,0,960,2,1,2,0,1,2,52
240098,1,2,0,9,995,0,0,35,4,0,999,2,3,3,1,1,0,0,1,1,2,0,2,2,0
240099,1,2,0,9,998,0,0,37,200,3,999,1,1,2,1,1,1,0,2,1,2,0,2,1,52
240100,1,2,21,9,995,0,0,43,48,0,999,6,3,11,1,1,0,999998,1,6,2,1,2,1,0
240101,1,1,0,9,11,0,0,40,48,0,999,11,1,5,1,1,0,350,2,1,3,0,2,2,12
240102,3,1,0,9,995,0,0,0,4,0,999,0,3,9,1,1,1,999998,0,6,9,0,1,1,0
240103,1,2,0,9,995,0,0,21,55,0,999,5,3,4,2,1,0,0,1,1,1,0,1,1,0
240104,1,2,0,9,995,0,0,73,47,0,999,8,3,1,1,1,0,0,1,5,3,0,2,2,0
240105,1,1,0,9,995,0,0,0,4,0,999,0,3,8,1,1,1,999998,0,6,9,0,1,1,0
240106,1,1,0,9,1,0,0,16,4,0,50,2,1,3,2,1,0,160,2,6,1,0,1,1,40
240107,1,1,0,9,116,0,0,34,48,0,999,6,1,1,1,1,0,1700,2,6,3,0,2,1,52
240108,1,1,0,9,995,0,0,17,28,0,999,2,3,2,1,1,0,999998,1,6,2,0,2,1,0
240109,1,1,0,9,108,0,0,43,462,2,999,0,1,4,1,1,1,264,2,6,2,0,1,1,20
240110,2,2,0,9,995,0,0,21,4,0,999,2,3,3,1,1,0,0,1,1,2,0,1,1,0
240111,3,2,0,9,26,0,0,27,4,0,999,0,1,4,2,1,0,360,2,1,2,0,1,1,36
240112,1,2,0,9,995,0,0,11,4,0,999,1,3,9,1,1,1,999998,0,6,3,0,1,1,0
240113,1,1,0,9,5,0,0,47,455,2,999,0,1,4,1,1,0,936,2,1,1,0,1,1,16
240114,1,1,0,9,995,0,0,3,4,0,999,0,3,6,2,1,0,999998,0,6,9,0,1,1,0
240115,3,2,0,9,995,0,0,5,48,0,999,99,3,10,1,1,0,999998,0,6,1,0,2,2,0
240116,1,2,0,9,995,0,0,80,28,0,999,2,3,2,2,1,0,0,1,1,1,0,1,1,0
240117,1,2,0,9,995,0,0,80,27,0,999,2,3,1,1,1,0,0,1,5,2,0,1,2,0
240118,1,2,0,9,119,0,0,24,4,0,999,8,1,3,1,1,0,1000,2,1,2,0,1,1,52
240119,1,1,0,9,115,0,0,60,21,0,999,2,1,6,1,1,0,1200,2,1,3,0,1,2,52
240120,3,2,0,9,995,0,0,10,4,0,999,0,3,7,2,1,0,999998,0,6,1,0,1,1,0
240121,1,2,0,2,995,0,0,11,4,0,999,1,3,9,1,1,1,999998,0,6,2,0,2,1,0
240122,2,2,0,9,118,0,0,18,48,0,999,2,1,8,1,1,0,240,2,6,9,0,2,1,25
240123,1,2,0,9,995,0,0,16,4,0,999,4,3,7,1,1,0,0,1,6,2,1,2,2,0
240124,1,1,0,9,995,0,0,69,36,0,999,2,3,1,1,1,0,0,1,6,2,0,1,1,0
240125,1,1,0,9,995,0,0,7,39,0,999,1,3,4,1,1,0,999998,0,6,3,1,2,1,0
240126,1,1,0,9,99,0,0,43,29,0,999,2,1,2,1,1,0,0,2,1,2,0,2,2,20
240127,1,2,0,9,995,0,0,69,39,0,999,0,3,2,1,1,0,0,1,5,1,0,1,1,0
240128,3,1,0,9,1,0,0,39,4,0,999,0,1,8,2,1,0,162,2,1,2,0,1,1,52
240129,3,1,0,9,1,0,0,15,4,0,999,0,1,9,2,1,0,1200,2,6,2,0,1,1,52
240130,1,1,0,9,995,0,0,8,4,0,999,0,3,22,1,1,0,999998,0,6,1,0,2,1,0
240131,1,2,0,9,995,0,0,64,200,3,999,0,3,4,1,1,1,0,1,1,1,0,1,2,0
240132,1,2,0,9,995,0,0,51,36,0,999,2,3,5,2,1,0,0,1,2,1,0,1,1,0
240133,1,2,0,9,995,0,0,22,4,0,999,6,3,5,1,1,0,0,1,6,2,0,1,2,0
240134,1,1,0,9,995,0,0,2,4,0,999,0,3,5,1,1,0,999998,0,6,9,0,1,1,0
240135,1,2,0,9,995,0,0,6,4,0,999,1,3,4,1,1,0,999998,0,6,2,0,2,1,0
240136,1,2,0,9,126,0,0,54,4,0,999,1,1,1,1,1,0,750,2,6,1,0,1,2,48
240137,1,2,0,9,995,0,0,1,4,0,999,0,3,6,2,1,0,999998,0,6,9,0,1,1,0
240138,1,2,0,9,995,0,0,7,4,0,999,1,3,9,2,1,1,999998,0,6,2,0,2,1,0
240139,1,2,0,9,995,0,0,52,18,0,999,2,3,4,1,1,0,0,1,1,2,0,1,1,0
240140,1,1,0,9,99,0,0,20,40,0,999,6,1,4,1,1,0,600,2,6,3,0,1,2,20
240141,1,2,0,9,995,0,0,12,18,0,999,2,3,4,1,1,0,999998,0,6,2,0,2,2,0
240142,1,1,0,9,995,0,0,13,35,0,999,1,3,7,1,1,1,999998,0,6,2,0,2,1,0
240143,1,1,0,9,102,0,0,51,410,2,999,8,1,2,1,1,0,1716,2,1,1,0,2,1,52
240144,1,1,0,9,109,0,0,55,200,2,999,11,1,5,1,1,1,936,2,1,2,0,1,1,52
240145,1,2,0,9,995,0,0,22,6,0,999,6,3,2,1,1,0,0,1,1,3,0,2,2,0
240146,1,1,0,9,995,0,0,9,4,0,999,1,3,7,1,1,0,999998,0,6,2,0,2,2,0
240147,1,2,0,9,995,0,0,11,4,0,999,1,3,6,1,1,1,0,0,6,2,0,2,1,0
240148,1,1,0,9,131,0,0,40,48,0,999,6,1,2,1,1,0,0,2,1,3,0,2,1,0
240149,1,1,0,9,995,0,0,7,48,0,999,1,3,7,1,1,0,999998,0,6,3,0,2,1,0
240150,1,1,0,9,1,0,0,24,200,2,999,6,1,5,2,1,1,670,2,1,2,0,1,1,52
240151,1,1,0,9,995,0,0,5,40,0,999,0,3,5,1,1,0,999998,0,6,3,0,1,2,0
240152,1,2,0,9,995,0,0,0,4,0,999,0,3,5,1,1,0,999998,0,6,2,0,2,2,0
240153,2,1,0,6,129,0,0,36,48,0,999,5,1,1,1,1,0,0,2,4,3,0,1,1,52
240154,1,2,0,9,995,0,0,20,410,2,999,6,3,7,1,1,0,0,1,6,2,0,2,2,50
240155,1,1,0,9,995,0,0,84,18,0,999,2,3,3,1,1,0,0,1,1,2,0,2,2,0
240156,1,1,0,9,90,0,0,29,40,0,999,3,1,1,1,4,0,0,2,2,9,0,0,1,20
240157,1,2,0,9,995,0,0,9,4,0,999,1,3,3,1,1,0,999998,0,6,2,0,1,1,0
240158,1,1,0,9,102,0,0,56,4,0,999,1,1,1,1,1,0,365,2,5,2,0,2,2,23
240159,1,1,0,9,995,0,0,59,21,0,999,2,3,3,1,1,0,0,1,1,3,0,2,2,0
240160,1,2,0,9,995,0,0,20,35,0,999,2,3,1,1,1,1,0,1,6,3,0,2,2,0
240161,1,1,0,9,77,0,0,38,31,0,999,4,1,3,1,1,0,1250,2,1,1,0,1,2,52
240162,1,2,0,9,995,0,0,3,4,0,999,0,3,5,1,1,1,999998,0,6,9,0,2,1,0
240163,1,2,0,9,995,0,0,59,410,3,999,1,3,6,1,1,0,0,1,1,2,0,1,2,0
240164,1,1,0,9,995,0,0,50,48,0,999,1,3,2,1,1,0,0,1,1,2,0,2,2,0
240165,1,1,0,9,5,0,0,30,5,0,999,2,1,3,1,1,0,405,2,1,3,0,2,1,40
240166,1,2,0,9,995,0,0,12,4,0,999,2,3,4,1,1,1,0,0,6,2,2,2,2,0
240167,1,2,0,9,131,0,0,49,55,0,999,2,1,2,1,1,0,0,2,1,2,0,1,2,0
240168,1,2,0,9,995,0,0,4,4,0,999,99,3,5,1,1,0,0,0,6,9,0,2,1,0
240169,1,1,0,9,1,0,0,47,26,0,999,4,1,3,1,1,0,862,2,1,3,0,1,1,32
240170,1,2,0,9,995,0,0,45,200,3,999,0,3,7,1,1,1,840,1,1,1,0,1,2,40
240171,1,1,0,9,130,0,0,44,4,0,999,2,1,4,2,1,0,1500,2,1,9,0,1,1,52
240172,1,1,0,9,995,0,0,5,4,0,999,0,3,8,1,1,1,999998,0,6,2,0,1,2,0
240173,1,2,0,9,102,0,0,25,35,0,999,6,1,5,1,1,0,450,2,2,9,0,2,2,12
240174,3,1,0,9,995,0,0,10,4,0,999,1,3,6,1,1,0,999998,0,6,2,0,1,1,0
240175,1,2,0,9,995,0,0,28,5,0,999,2,3,9,2,1,0,0,1,1,2,0,2,1,0
240176,1,2,0,9,118,0,0,26,48,0,999,2,1,2,1,1,0,0,2,1,3,0,2,1,0
240177,1,1,0,9,108,0,0,34,17,0,999,7,1,3,1,1,0,560,2,1,3,0,2,1,30
240178,1,2,0,9,995,0,0,25,515,1,999,6,3,2,1,1,0,0,1,6,4,0,2,2,7
240179,3,1,0,9,1,0,0,20,4,0,999,2,1,2,2,1,0,1654,2,1,2,0,1,1,40
240180,1,2,0,9,995,0,0,11,4,0,999,1,3,10,1,1,1,999998,0,6,1,0,2,2,0
240181,1,2,0,9,995,0,0,46,35,0,999,6,3,3,1,1,0,0,1,1,2,0,1,1,0
240182,1,2,0,9,995,0,0,17,4,0,999,0,3,11,2,1,1,0,1,6,2,0,2,1,0
240183,1,1,0,9,124,0,0,20,6,0,999,6,1,6,1,1,0,1800,2,6,2,0,2,1,52
240184,1,2,0,9,995,0,0,8,4,0,999,1,3,8,1,1,1,999998,0,6,2,0,2,2,0
240185,1,1,0,9,995,0,0,12,2,0,999,2,3,8,1,1,1,999998,0,6,9,0,2,2,0
240186,1,1,0,9,995,0,0,10,4,0,999,1,3,2,1,1,0,999998,0,6,9,0,2,2,0
240187,1,1,0,9,995,0,0,18,29,0,999,3,3,3,1,1,0,0,1,6,2,0,1,1,0
240188,1,2,0,9,998,0,0,19,4,0,26,7,1,5,2,1,0,0,2,6,9,0,2,1,0
240189,1,1,0,9,11,0,0,20,40,0,18,5,2,3,1,1,0,1625,2,6,2,0,1,1,8
240190,1,2,18,9,995,0,0,25,4,0,999,2,3,2,1,1,1,0,1,6,1,1,1,1,0
240191,3,1,0,9,11,0,0,22,4,0,999,1,1,7,1,1,1,299,2,6,2,0,1,1,22
240192,1,2,0,9,995,0,0,54,54,0,999,6,3,3,1,1,0,0,1,1,1,0,2,1,0
240193,1,2,0,9,995,0,0,26,40,0,999,10,3,3,1,1,0,0,1,1,3,0,1,1,0
240194,1,1,0,9,127,0,0,31,31,0,999,2,1,1,1,6,0,420,2,6,9,0,0,2,52
240195,1,2,0,9,995,0,0,80,4,0,999,0,3,1,1,1,0,0,1,6,1,0,2,1,0
240196,1,1,0,9,108,0,0,36,457,3,999,6,1,2,1,1,0,1169,2,1,3,0,1,2,52
240197,1,2,0,9,995,0,0,44,4,0,999,1,3,2,1,1,1,0,1,2,1,0,2,2,0
240198,1,2,0,9,995,0,0,18,40,0,999,3,3,3,1,1,0,0,1,1,3,0,2,1,0
240199,1,1,0,9,995,0,0,10,4,0,999,1,3,10,1,1,1,999998,0,6,2,0,1,2,0
240200,1,1,0,9,100,0,0,28,4,0,999,6,1,1,1,1,0,500,2,6,2,0,2,2,26
240201,1,2,0,9,116,0,0,57,5,0,999,7,1,3,1,1,0,476,2,1,1,0,2,2,12
240202,1,1,0,9,995,0,0,54,5,0,999,0,3,1,1,1,0,0,1,6,3,0,1,2,0
240203,3,2,0,9,23,0,0,15,4,0,999,4,1,5,2,1,0,17,2,6,2,0,1,1,3
240204,1,1,0,9,995,0,0,14,4,0,999,3,3,4,1,1,0,0,1,6,2,0,2,1,0
240205,1,1,0,9,995,0,0,0,4,0,999,0,3,3,1,1,0,999998,0,6,2,0,2,1,0
240206,1,2,0,9,995,0,0,32,4,0,999,3,3,6,1,1,1,0,1,1,2,0,1,1,0
240207,1,1,0,9,995,0,0,9,48,0,999,1,3,5,1,1,0,999998,0,6,2,0,2,1,0
240208,1,2,0,9,995,0,0,29,5,0,999,2,3,8,1,1,0,0,1,1,9,0,2,1,0
240209,1,2,0,9,995,0,0,10,6,0,999,1,3,6,1,1,0,999998,0,6,1,0,1,2,0
240210,1,2,0,9,995,0,0,9,40,0,999,1,3,6,1,1,0,999998,0,6,3,0,1,1,0
240211,1,1,0,9,995,0,0,26,8,0,999,6,1,1,1,1,0,0,2,5,3,0,2,2,52
240212,1,1,0,2,995,0,0,89,200,2,999,2,3,1,1,1,1,999998,1,2,1,0,2,1,0
240213,1,2,0,9,995,0,0,5,40,0,999,0,3,5,2,1,0,999998,0,6,3,0,2,1,0
240214,1,2,0,9,995,0,0,36,20,0,999,4,3,2,1,1,0,0,1,1,2,0,2,2,0
240215,2,1,0,9,995,0,0,5,4,0,999,0,3,6,2,1,0,999998,0,6,9,0,2,1,0
240216,1,1,0,9,995,0,0,11,4,0,999,1,3,9,1,1,1,999998,0,6,2,0,1,1,0
240217,1,2,0,9,995,0,0,4,4,0,999,0,3,6,2,1,1,999998,0,6,9,3,1,1,0
240218,1,2,0,9,995,0,0,35,4,0,999,7,3,4,1,1,0,0,1,1,2,0,2,1,0
240219,3,2,0,9,995,0,0,4,4,0,999,0,3,6,2,1,0,999998,0,6,9,0,1,1,0
240220,1,1,0,9,995,0,0,6,40,0,999,1,3,8,1,1,0,999998,0,6,3,0,2,1,0
240221,1,1,0,9,995,0,0,9,4,0,999,1,3,8,1,1,1,999998,0,6,1,0,1,1,0
240222,1,1,0,9,21,0,0,46,38,0,999,6,1,8,1,1,0,330,2,6,2,0,1,2,24
240223,1,1,0,9,995,0,0,15,40,0,999,2,2,6,1,1,0,0,2,6,2,0,1,1,0
240224,1,2,0,9,995,0,0,44,29,0,999,3,3,3,1,1,0,0,1,1,1,0,1,1,0
240225,1,1,0,9,100,0,0,44,17,0,999,7,1,4,1,1,0,0,2,1,3,0,2,1,52
240226,3,2,0,9,995,0,0,5,4,0,999,0,3,8,2,1,0,999998,0,6,9,0,1,1,0
240227,3,2,0,9,995,0,0,12,4,0,999,0,3,4,2,1,0,999998,0,6,2,0,1,1,0
240228,1,2,0,9,995,0,0,60,37,0,999,1,3,2,1,1,0,0,1,1,3,0,2,1,0
240229,1,2,0,9,995,0,0,9,4,0,999,0,3,7,1,1,1,999998,0,6,1,0,1,2,0
240230,1,1,0,9,995,0,0,18,48,0,999,1,3,7,1,1,0,0,1,6,2,0,2,2,0
240231,3,2,0,9,995,0,0,26,4,0,999,2,3,7,2,1,0,0,1,1,2,0,1,1,0
240232,1,1,0,9,1,0,0,48,17,0,999,3,1,4,2,1,0,0,2,1,1,0,1,1,52
240233,1,1,0,9,1,0,0,19,4,0,999,2,1,7,1,1,1,130,2,6,2,0,1,1,8
240234,1,1,0,9,5,0,0,30,35,0,999,3,1,3,1,1,0,342,2,1,2,0,1,1,30
240235,1,2,0,9,995,0,0,25,48,0,999,2,3,3,1,1,0,0,1,1,3,0,1,1,0
240236,1,2,0,9,995,0,0,54,48,0,999,2,3,6,1,1,0,0,1,1,1,0,1,1,0
240237,1,1,0,9,995,0,0,14,4,0,999,2,3,5,1,1,0,0,1,6,1,0,1,1,0
240238,1,1,0,9,995,0,0,13,4,0,999,1,3,8,1,1,1,999998,0,6,1,0,2,1,0
240239,1,1,0,9,5,0,0,22,200,3,999,2,1,10,1,1,1,1090,2,6,1,0,1,1,50
240240,1,2,0,9,995,0,0,17,40,0,999,4,3,2,1,1,0,0,1,6,2,0,2,1,0
240241,1,2,0,9,124,0,0,52,4,0,999,2,1,2,1,1,0,800,2,1,2,0,1,1,48
240242,1,1,0,9,131,0,0,31,4,0,999,10,1,5,1,1,0,2580,2,1,2,0,1,1,49
240243,1,2,0,9,995,0,0,0,4,0,999,99,3,5,1,1,1,999998,0,6,9,0,2,2,0
240244,1,2,0,9,995,0,0,29,48,0,999,2,3,7,1,1,0,0,1,1,9,0,1,1,0
240245,1,1,0,9,995,0,0,16,40,0,999,4,1,4,1,1,0,0,2,6,3,0,2,2,52
240246,1,1,0,9,122,0,0,30,17,0,999,7,1,5,1,1,0,1800,2,1,2,0,2,1,52
240247,1,1,0,9,998,0,0,18,48,0,999,4,1,2,2,1,0,999998,2,6,2,0,2,1,0
240248,3,1,0,9,1,0,0,39,4,0,999,0,1,8,2,1,0,0,2,5,2,0,1,1,25
240249,1,1,0,9,995,0,0,13,4,0,999,2,3,5,2,1,0,999998,0,6,2,0,1,1,0
240250,1,2,0,9,995,0,0,15,4,0,999,2,3,7,1,1,1,0,1,6,1,0,1,2,0
240251,1,1,0,9,995,0,0,12,4,0,999,2,3,11,2,1,1,0,0,6,2,0,2,1,0
240252,3,1,0,9,995,0,0,8,4,0,999,1,3,9,2,1,0,999998,0,6,2,0,1,1,0
240253,1,2,0,9,995,0,0,34,200,3,999,1,3,2,1,1,1,0,1,1,2,0,2,1,0
240254,1,2,0,9,995,0,0,16,4,0,999,2,3,5,1,1,1,999998,1,6,2,0,2,2,0
240255,1,2,0,9,124,0,0,42,18,0,999,8,1,4,1,1,0,600,2,1,2,0,1,1,30
240256,3,1,0,9,59,0,0,25,4,0,999,2,1,3,2,1,0,518,2,1,2,0,1,1,26
240257,1,2,0,9,995,0,0,49,5,0,999,0,3,6,2,1,0,0,1,1,2,0,2,1,0
240258,1,1,0,9,995,0,0,10,4,0,999,1,3,2,1,1,0,999998,0,6,2,0,1,2,0
